"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs12150914-<b>T</b>,"2 x 10-14",,0.404855,'-,"0.0150135 unit increase",[0.011-0.019],"TMEM160, ZC3H4","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:47060161
rs11075985-<b>C</b>,"2 x 10-14",,0.575568,'-,"0.0146221 unit increase",[0.011-0.018],FTO,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,16:53771295
rs9604045-<b>G</b>,"2 x 10-14",,0.746424,'-,"0.0175533 unit decrease",[0.013-0.022],"CUL4A, LDHBP1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,13:113272893
rs1045241-<b>C</b>,"2 x 10-14",,0.728748,'-,"0.0164773 unit decrease",[0.012-0.021],TNFAIP8,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:119393591
rs13076933-<b>T</b>,"2 x 10-14",,0.740599,'-,"0.0166659 unit increase",[0.012-0.021],"PPARG, GSTM5P1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:12285932
rs2723065-<b>A</b>,"3 x 10-14",,0.623227,'-,"0.0149555 unit decrease",[0.011-0.019],"LINC02245, LINC02576","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:65052280
rs9274346-<b>C</b>,"3 x 10-14",,0.607966,'-,"0.0152666 unit decrease",[0.011-0.019],HLA-DQB1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:32664590
rs11231138-<b>C</b>,"3 x 10-14",,0.62776,'-,"0.0149781 unit increase",[0.011-0.019],AHNAK,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:62548723
rs2268840-<b>T</b>,"4 x 10-14",,0.771541,'-,"0.0171774 unit decrease",[0.013-0.022],DGKG,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,3:186213385
rs59104589-<b>C</b>,"4 x 10-14",,0.641714,'-,"0.0150125 unit decrease",[0.011-0.019],HDLBP,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:241298487
rs4356188-<b>C</b>,"4 x 10-14",,0.299146,'-,"0.0157423 unit increase",[0.012-0.02],RDX,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:110093019
rs13220570-<b>T</b>,"5 x 10-14",,0.867466,'-,"0.0217739 unit increase",[0.016-0.027],"ZNF322, TSBP1-AS1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:26748081
rs77631377-<b>C</b>,"5 x 10-14",,0.958168,'-,"0.0360604 unit increase",[0.027-0.045],TANGO6,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,16:69015390
rs595767-<b>A</b>,"5 x 10-14",,0.480807,'-,"0.0143912 unit increase",[0.011-0.018],SUMO2P17,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,17:48880625
rs77605964-<b>G</b>,"8 x 10-14",,0.773081,'-,"0.0170398 unit decrease",[0.013-0.022],COG5,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,7:107322503
rs3749748-<b>C</b>,"8 x 10-14",,0.752736,'-,"0.0165751 unit decrease",[0.012-0.021],LINC01184,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:128014857
rs41292412-<b>C</b>,"9 x 10-14",,0.987884,'-,"0.0662649 unit increase",[0.049-0.084],"MIR3591, MIR122, MIR122HG","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,18:58451126
rs116006942-<b>G</b>,"1 x 10-13",,0.939201,'-,"0.0300143 unit increase",[0.022-0.038],ARL15,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:54109484
rs367677-<b>A</b>,"1 x 10-13",,0.76,'-,"0.0167198 unit decrease",[0.012-0.021],"ZFP36L1, MAGOH3P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,14:68806373
rs143474489-<b>T</b>,"1 x 10-13",,0.977616,'-,"0.0483333 unit decrease",[0.036-0.061],'-,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:50668923
rs6457807-<b>T</b>,"1 x 10-13",,0.825639,'-,"0.0185777 unit decrease",[0.014-0.023],"TCP11, SCUBE3","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:35175122
rs2298632-<b>C</b>,"2 x 10-13",,0.501926,'-,"0.0142985 unit decrease",[0.011-0.018],TCEA3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:23383982
rs9657541-<b>C</b>,"2 x 10-13",,0.795918,'-,"0.0173743 unit increase",[0.013-0.022],PINX1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:10785654
rs117230571-<b>A</b>,"2 x 10-13",,0.923044,'-,"0.0266942 unit increase",[0.02-0.034],"MIR3168, RN7SL597P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,13:41114931
rs13269725-<b>A</b>,"2 x 10-13",,0.921659,'-,"0.0259348 unit increase",[0.019-0.033],EYA1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,8:71547654
rs4979372-<b>T</b>,"2 x 10-13",,0.511221,'-,"0.0140592 unit decrease",[0.01-0.018],AKNA,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,9:114377802
rs62112763-<b>C</b>,"2 x 10-13",,0.561089,'-,"0.0141168 unit increase",[0.01-0.018],INSR,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:7220002
rs577525-<b>T</b>,"3 x 10-13",,0.438094,'-,"0.0140698 unit increase",[0.01-0.018],CRTAC1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,10:98009631
rs1055582-<b>C</b>,"3 x 10-13",,0.49477,'-,"0.013948 unit decrease",[0.01-0.018],UBE2K,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,4:39698553
rs2314338-<b>T</b>,"3 x 10-13",,0.730802,'-,"0.0156879 unit increase",[0.011-0.02],RAPGEFL1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,17:40188233
rs3747973-<b>A</b>,"3 x 10-13",,0.407456,'-,"0.0141432 unit decrease",[0.01-0.018],"NUCKS1, Metazoa_SRP","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,1:205708020
rs78025076-<b>C</b>,"3 x 10-13",,0.979706,'-,"0.0492833 unit increase",[0.036-0.063],MCUB,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,4:109648464
rs6123685-<b>G</b>,"3 x 10-13",,0.745257,'-,"0.0159703 unit decrease",[0.012-0.02],BMP7,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,20:57260984
rs9646167-<b>C</b>,"3 x 10-13",,0.477399,'-,"0.0139878 unit increase",[0.01-0.018],"GTF2A1, TSHR","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,14:81169544
rs4760-<b>A</b>,"4 x 10-13",,0.844628,'-,"0.0191065 unit increase",[0.014-0.024],PLAUR,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,19:43648948
rs28876383-<b>C</b>,"4 x 10-13",,0.977417,'-,"0.0523829 unit increase",[0.038-0.067],"OR4C5, OR4C2P","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:48392620
rs2011614-<b>G</b>,"4 x 10-13",,0.648958,'-,"0.0144905 unit increase",[0.011-0.018],CPD,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,17:30454774
rs1611719-<b>G</b>,"5 x 10-13",,0.79027,'-,"0.0174799 unit increase",[0.013-0.022],"HLA-G, HCP5B","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:29861859
rs10761737-<b>T</b>,"5 x 10-13",,0.583396,'-,"0.0140087 unit decrease",[0.01-0.018],JMJD1C,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,10:63292445
rs7595075-<b>C</b>,"6 x 10-13",,0.653208,'-,"0.0144373 unit decrease",[0.011-0.018],SH3YL1,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:264019
rs7158166-<b>T</b>,"6 x 10-13",,0.406145,'-,"0.0140645 unit decrease",[0.01-0.018],"TRAF3, RCOR1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,14:102775462
rs4788446-<b>T</b>,"1 x 10-12",,0.252876,'-,"0.0154918 unit decrease",[0.011-0.02],ATXN1L,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,16:71822824
rs138354839-<b>C</b>,"1 x 10-12",,0.9849,'-,"0.0600103 unit increase",[0.044-0.076],BTNL3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,5:180989174
rs28362901-<b>C</b>,"1 x 10-12",,0.911669,'-,"0.0239698 unit increase",[0.017-0.031],SEMA7A,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,15:74420596
rs144033177-<b>A</b>,"1 x 10-12",,0.984179,'-,"0.0558275 unit increase",[0.04-0.071],"CSNK2A1, TCF15","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,20:590823
rs2218793-<b>C</b>,"1 x 10-12",,0.71772,'-,"0.0150235 unit increase",[0.011-0.019],AMPD3,"HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,11:10359281
rs7769059-<b>G</b>,"1 x 10-12",,0.716625,'-,"0.0150833 unit increase",[0.011-0.019],"HLA-C, HCG27","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,6:31228219
rs4599108-<b>C</b>,"1 x 10-12",,0.512342,'-,"0.0136684 unit decrease",[0.0099-0.0174],"TGOLN2, TCF7L1","HDL cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST010242,2:85316099
rs17482753-<b>T</b>,"2 x 10-41",,0.1065,'-,"4.9720945 unit increase",[4.25-5.7],LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,8:19975135
rs17410962-<b>A</b>,"8 x 10-32",,0.1366,'-,"3.9662154 unit increase",[3.3-4.63],LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,8:19990569
rs17489268-<b>A</b>,"2 x 10-44",,0.2874,'-,"3.514711 unit increase",[3.02-4.01],LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,8:19994534
rs3905000-<b>A</b>,"3 x 10-8",,0.1354,'-,"1.6761924 unit decrease",[1.08-2.27],ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,9:104894789
rs174547-<b>C</b>,"7 x 10-15",,0.3261,'-,"1.8519754 unit decrease",[1.39-2.32],"FADS1, FADS2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,11:61803311
rs261332-<b>T</b>,"9 x 10-21",,0.1955,'-,"2.5879784 unit increase",[2.05-3.13],"LIPC-AS1, LIPC, ALDH1A2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,15:58435126
rs261336-<b>C</b>,"4 x 10-14",,0.1795,'-,"2.2511744 unit increase",[1.67-2.83],"LIPC-AS1, ALDH1A2, LIPC","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,15:58450219
rs4660293-<b>C</b>,"1 x 10-6",,0.235,'-,"1.194 unit decrease",'-,PABPC4,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST005776,1:39562508
rs261334-<b>G</b>,"5 x 10-22",,0.20,'-,"0.03 unit increase",[0.02-0.04],"ALDH1A2, LIPC","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000805,15:58434545
rs2156552-<b>T</b>,"2 x 10-12",,0.81,'-,"0.03 unit increase",[0.02-0.04],"SMUG1P1, ACAA2","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000805,18:49655298
rs10489615-<b>G</b>,"4 x 10-9",,0.60,'-,"0.02 unit increase",[0.01-0.03],GALNT2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000805,1:230169242
rs2156552-<b>T</b>,"6 x 10-12",,0.84,'-,"1.2 mg/dl increase",[NR],"SMUG1P1, ACAA2","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,18:49655298
rs9989419-<b>G</b>,"3 x 10-31",,0.65,'-,"1.72 mg/dl increase",[NR],"HERPUD1, CETP","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,16:56951227
rs2338104-<b>G</b>,"3 x 10-8",,0.45,'-,"0.48 mg/dl increase",[NR],KCTD10,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,12:109457363
rs3764261-<b>A</b>,"2 x 10-57",,0.31,'-,"3.47 mg/dl increase",[NR],"HERPUD1, CETP","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,16:56959412
rs4775041-<b>C</b>,"3 x 10-20",,0.33,'-,"1.38 mg/dl increase",[NR],ALDH1A2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,15:58382496
rs2144300-<b>T</b>,"3 x 10-14",,0.6,'-,"1.11 mg/dl increase",[NR],GALNT2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,1:230159169
rs4149268-<b>C</b>,"1 x 10-10",,0.64,'-,"0.82 mg/dl increase",[NR],ABCA1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,9:104884939
rs255052-<b>A</b>,"1 x 10-7",,0.17,'-,"0.74 mg/dl increase",[NR],"DPEP2, DUS2","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,16:67991092
rs10503669-<b>A</b>,"4 x 10-19",,0.1,'-,"2.09 mg/dl increase",[NR],'-,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,"Mapping not available"
rs1864163-<b>G</b>,"7 x 10-39",,0.8,'-,"4.12 mg/dl increase",[NR],CETP,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000135,16:56963321
rs10498712-<b>G</b>,"9 x 10-6",(HDL-C),0.25,'-,"0.23 mg/dL increase",[NR],CASC15,"Quantitative traits","high density lipoprotein cholesterol measurement",'-,GCST000337,6:22743174
rs655601-<b>A</b>,"5 x 10-6",(HDL-C),0.47,'-,"0.23 mg/dL increase",[NR],MGAT1,"Quantitative traits","high density lipoprotein cholesterol measurement",'-,GCST000337,5:180799673
rs964184-<b>G</b>,"5 x 10-47",,0.13,'-,"1.5 mg/dL decrease",[1.28-1.72],ZPR1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,11:116778201
rs174546-<b>T</b>,"2 x 10-22",,0.36,'-,"0.73 mg/dL decrease",[0.57-0.89],"FADS2, FADS1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,11:61802358
rs2954029-<b>T</b>,"6 x 10-19",,0.44,'-,"0.61 mg/dL increase",[0.47-0.75],TRIB1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,8:125478730
rs1800961-<b>T</b>,"1 x 10-15",,0.03,'-,"1.88 mg/dL decrease",[1.41-2.35],HNF4A,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,20:44413724
rs11869286-<b>C</b>,"3 x 10-14",,0.34,'-,"0.51 mg/dL decrease",[0.35-0.67],STARD3,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,17:39657603
rs13107325-<b>T</b>,"7 x 10-11",,0.07,'-,"0.84 mg/dL decrease",[0.53-1.15],SLC39A8,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,4:102267552
rs1689800-<b>G</b>,"3 x 10-10",,0.35,'-,"0.47 mg/dL decrease",[0.31-0.63],LINC01344,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,1:182199750
rs6450176-<b>A</b>,"5 x 10-8",,0.26,'-,"0.49 mg/dL decrease",[0.31-0.67],ARL15,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,5:54002195
rs7134375-<b>A</b>,"4 x 10-8",,0.42,'-,"0.4 mg/dL increase",[0.24-0.56],PDE3A,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,12:20320824
rs2923084-<b>G</b>,"5 x 10-8",,0.17,'-,"0.41 mg/dL decrease",[0.21-0.61],AMPD3,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,11:10367235
rs3764261-<b>A</b>,"7 x 10-380",,0.32,'-,"3.39 mg/dL increase",[3.21-3.57],"HERPUD1, CETP","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,16:56959412
rs4759375-<b>T</b>,"8 x 10-9",,0.06,'-,"0.86 mg/dL increase",[0.55-1.17],SBNO1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,12:123311691
rs2652834-<b>A</b>,"9 x 10-9",,0.2,'-,"0.39 mg/dL decrease",[0.19-0.59],"LACTB, TPM1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,15:63104668
rs181362-<b>T</b>,"1 x 10-8",,0.2,'-,"0.46 mg/dL decrease",[0.28-0.64],UBE2L3,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,22:21577779
rs11613352-<b>T</b>,"2 x 10-8",,0.24,'-,"0.46 mg/dL increase",[0.28-0.64],R3HDM2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,12:57398797
rs605066-<b>C</b>,"3 x 10-8",,0.42,'-,"0.39 mg/dL decrease",[0.23-0.55],"ATP5PBP6, LINC01625","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,6:139508529
rs7941030-<b>G</b>,"3 x 10-8",,0.37,'-,"0.31 mg/dL increase",[0.15-0.47],"UBASH3B, GLULP3","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,11:122651667
rs1084651-<b>A</b>,"3 x 10-8",,0.16,'-,"0.56 mg/dL decrease",[0.36-0.76],"LPA, PLG","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,6:160668785
rs7255436-<b>C</b>,"3 x 10-8",,0.47,'-,"0.45 mg/dL decrease",[0.29-0.61],ANGPTL4,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,19:8368312
rs4660293-<b>G</b>,"4 x 10-10",,0.23,'-,"0.48 mg/dL decrease",[0.3-0.66],PABPC4,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,1:39562508
rs17145738-<b>T</b>,"1 x 10-9",,0.12,'-,"0.57 mg/dL increase",[0.33-0.81],TBL2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,7:73568544
rs2972146-<b>C</b>,"2 x 10-9",,0.37,'-,"0.46 mg/dL increase",[0.3-0.62],'-,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,2:226235982
rs737337-<b>C</b>,"3 x 10-9",,0.08,'-,"0.64 mg/dL decrease",[0.37-0.91],DOCK6,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,19:11236817
rs2814944-<b>A</b>,"4 x 10-9",,0.16,'-,"0.49 mg/dL decrease",[0.29-0.69],"IFITM3P3, ILRUN","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,6:34585020
rs4129767-<b>G</b>,"5 x 10-9",,0.48,'-,"0.4 mg/dL decrease",[0.24-0.56],PGS1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,17:78407903
rs12967135-<b>A</b>,"7 x 10-9",,0.23,'-,"0.42 mg/dL decrease",[0.24-0.6],"MC4R, RNU4-17P","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,18:60181790
rs12678919-<b>G</b>,"1 x 10-97",,0.12,'-,"2.25 mg/dL increase",[2.01-2.49],LPL,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,8:19986711
rs1532085-<b>A</b>,"3 x 10-96",,0.39,'-,"1.45 mg/dL increase",[1.29-1.61],ALDH1A2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,15:58391167
rs7241918-<b>G</b>,"3 x 10-49",,0.17,'-,"1.31 mg/dL decrease",[1.11-1.51],"LIPG, SMUG1P1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,18:49634583
rs1883025-<b>T</b>,"2 x 10-33",,0.25,'-,"0.94 mg/dL decrease",[0.76-1.12],ABCA1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,9:104902020
rs16942887-<b>A</b>,"8 x 10-33",,0.12,'-,"1.27 mg/dL increase",[1.05-1.49],PSKH1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,16:67894139
rs1042034-<b>C</b>,"1 x 10-30",,0.22,'-,"0.9 mg/dL increase",[0.72-1.08],APOB,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,2:21002409
rs9987289-<b>A</b>,"6 x 10-25",,0.09,'-,"1.21 mg/dL decrease",[0.96-1.46],"RNU6-526P, RNU6-1151P","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,8:9325848
rs6065906-<b>C</b>,"2 x 10-22",,0.18,'-,"0.93 mg/dL decrease",[0.73-1.13],"PLTP, PCIF1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,20:45925376
rs4846914-<b>G</b>,"4 x 10-21",,0.4,'-,"0.61 mg/dL decrease",[0.47-0.75],GALNT2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,1:230159944
rs4420638-<b>G</b>,"4 x 10-21",,0.17,'-,"1.06 mg/dL decrease",[0.82-1.3],"APOC1, APOC1P1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,19:44919689
rs3136441-<b>C</b>,"3 x 10-18",,0.15,'-,"0.78 mg/dL increase",[0.58-0.98],F2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,11:46721697
rs386000-<b>C</b>,"4 x 10-16",,0.2,'-,"0.83 mg/dL increase",[0.61-1.05],"LILRA5, MIR4752","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,19:54288907
rs4731702-<b>T</b>,"1 x 10-15",,0.48,'-,"0.59 mg/dL increase",[0.45-0.73],"H4P1, KLF14","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,7:130748625
rs7134594-<b>C</b>,"7 x 10-15",,0.47,'-,"0.44 mg/dL decrease",[0.3-0.58],MMAB,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,12:109562388
rs838880-<b>C</b>,"3 x 10-14",,0.31,'-,"0.61 mg/dL increase",[0.43-0.79],SCARB1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,12:124777047
rs581080-<b>C</b>,"1 x 10-13",,0.14,'-,"0.72 mg/dL decrease",[0.52-0.92],TTC39B,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,9:15305380
rs2925979-<b>T</b>,"2 x 10-11",,0.3,'-,"0.45 mg/dL decrease",[0.29-0.61],CMIP,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,16:81501185
rs2293889-<b>T</b>,"6 x 10-11",,0.41,'-,"0.44 mg/dL decrease",[0.28-0.6],TRPS1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,8:115586972
rs4148008-<b>G</b>,"2 x 10-10",,0.32,'-,"0.42 mg/dL decrease",[0.26-0.58],ABCA8,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,17:68879153
rs12328675-<b>C</b>,"3 x 10-10",,0.13,'-,"0.68 mg/dL increase",[0.44-0.92],COBLL1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,2:164684290
rs4765127-<b>T</b>,"3 x 10-10",,0.34,'-,"0.44 mg/dL increase",[0.28-0.6],"RFLNA, ZNF664","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000755,12:123975620
rs12678919-<b>G</b>,"2 x 10-34",,0.10,'-,"0.23 s.d. increase",[0.17-0.29],LPL,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,8:19986711
rs4939883-<b>T</b>,"7 x 10-15",,0.17,'-,"0.14 s.d. decrease",[0.10-0.18],"LIPG, SMUG1P1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,18:49640844
rs964184-<b>G</b>,"1 x 10-12",,0.14,'-,"0.17 s.d. decrease",[0.11-0.23],ZPR1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,11:116778201
rs1883025-<b>T</b>,"1 x 10-9",,0.26,'-,"0.08 s.d. decrease",[0.04-0.12],ABCA1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,9:104902020
rs4846914-<b>G</b>,"4 x 10-8",,0.40,'-,"0.05 s.d. decrease",[0.01-0.09],GALNT2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,1:230159944
rs174547-<b>C</b>,"2 x 10-12",,0.33,'-,"0.09 s.d. decrease",[0.05-0.13],"FADS1, FADS2","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,11:61803311
rs471364-<b>C</b>,"3 x 10-10",,0.12,'-,"0.08 s.d. decrease",[0.02-0.14],TTC39B,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,9:15289580
rs1800961-<b>T</b>,"8 x 10-10",,0.03,'-,"0.19 s.d. decrease",[0.09-0.29],HNF4A,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,20:44413724
rs7679-<b>C</b>,"4 x 10-9",,0.19,'-,"0.07 s.d. decrease",[0.03-0.11],PCIF1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,20:45947863
rs2338104-<b>C</b>,"1 x 10-10",,0.45,'-,"0.07 s.d. decrease",[0.03-0.11],KCTD10,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,12:109457363
rs10468017-<b>T</b>,"8 x 10-23",,0.30,'-,"0.1 s.d. increase",[0.06-0.14],ALDH1A2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,15:58386313
rs2967605-<b>T</b>,"1 x 10-8",,0.16,'-,"0.12 s.d. decrease",[0.04-0.20],"MARCHF2, RAB11B","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,19:8404854
rs2271293-<b>A</b>,"9 x 10-13",,0.11,'-,"0.07 s.d. increase",[0.01-0.13],NUTF2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,16:67868167
rs173539-<b>T</b>,"4 x 10-75",,0.32,'-,"0.25 s.d. increase",[0.21-0.29],"CETP, HERPUD1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST000290,16:56954132
rs7499892-<b>A</b>,"9 x 10-6","(HDL cholesterol)",0.16,'-,"0.24 mmol/L decrease",[0.14-0.34],CETP,"Biochemical measures","high density lipoprotein cholesterol measurement",'-,GCST000328,16:56972678
